"source_id","brand","name","categories","price","web_url"
"141672","Cameleon","MakeUp Kit G2327 (2x Powder, 36x Eyeshadows, 4x Blusher, 1xMascara, 1xEye Pencil, 8x Lip Gloss, 4x Applicators)","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","19.49","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-G2327-2x-Powder-36x-Eyeshadows-4x-Blusher-1xMascara-1xEye-Pencil-8x-Lip-Gloss-4x-Applicators"
"168349","Cameleon","MakeUp Kit G1697 - 1","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","16.6","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-G1697-25x-EyeShadow-6x-Blusher-4x-Compact-Powder-6x-Lipgloss-1x-Mascara....-1"
"166940","Cameleon","MakeUp Kit G1688 (34xE/S, 3xBlusher, 2xPressed Pwd, 1xMascara, 4xLipgloss, 1xE/Pen, 4xApplicator)","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","15.16","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-G1688-34xE/S-3xBlusher-2xPressed-Pwd-1xMascara-4xLipgloss-1xE/Pen-4xApplicator"
"133891","Cameleon","MakeUp Kit 396 (48x Eyeshadow, 24x Lip Color, 2x Pressed Powder, 4x Blusher, 5x Applicator)","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","20.21","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-396-48x-Eyeshadow-24x-Lip-Color-2x-Pressed-Powder-4x-Blusher-5x-Applicator"
"223522","Cameleon","MakeUp Kit 398: (72x Eyeshadow, 2x Powder, 3x Blush, 8x Lipgloss, 1x Mini Mascara, 6x Applicator)","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","23.95","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-398:-72x-Eyeshadow-2x-Powder-3x-Blush-8x-Lipgloss-1x-Mini-Mascara-6x-Applicator"
"127288","Cameleon","MakeUp Kit G1665 : 48xEyeshadow, 4xBlush, 6xLipgloss, 4xBrush","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","15.16","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-G1665-:-48xEyeshadow-4xBlush-6xLipgloss-4xBrush"
"278933","Urban Decay","Naked 3 Eyeshadow Palette: 12x Eyeshadow, 1x Doubled Ended Shadow/Blending Brush","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","87.95","https://www.cosmeticsnow.com.au/iteminfo/Urban-Decay-Naked-3-Eyeshadow-Palette:-12x-Eyeshadow-1x-Doubled-Ended-Shadow/Blending-Brush"
"281558","Urban Decay","Naked Eyeshadow Palette: 12x Eyeshadow, 1x Doubled Ended Shadow/Blending Brush","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","78.95","https://www.cosmeticsnow.com.au/iteminfo/Urban-Decay-Naked-Eyeshadow-Palette:-12x-Eyeshadow-1x-Doubled-Ended-Shadow/Blending-Brush"
"278944","Urban Decay","Naked 2 Basics Eyeshadow Palette: 6x Eyeshadow 6x1.3g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","46.95","https://www.cosmeticsnow.com.au/iteminfo/Urban-Decay-Naked-2-Basics-Eyeshadow-Palette:-6x-Eyeshadow-Cover-Frisk-Primal-Skimp-Stark-Undone-6x1.3g"
"235307","Bobbi Brown","Bronze Shimmer Brick Set: Bronze Shimmer Brick Compact + Mini Face Blender Brush 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","82.95","https://www.cosmeticsnow.com.au/iteminfo/Bobbi-Brown-Bronze-Shimmer-Brick-Set:-Bronze-Shimmer-Brick-Compact-+-Mini-Face-Blender-Brush-Limited-Edition-2pcs"
"226317","Youngblood","Purely The Basics Kit - #Medium 6pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","55.95","https://www.cosmeticsnow.com.au/iteminfo/Youngblood-Purely-The-Basics-Kit-noMedium-2xFoundation-1xMineral-Blush-1xSetting-Powder-1xBrush-1xMineral-Powder-6pcs"
"127286","Cameleon","MakeUp Kit G1672 - 2","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","13.71","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-G1672-24xE/shdw-1xE/Pencil-4xL/Gloss-4xBlush-2xPressed-Pwd..-2"
"278932","Urban Decay","Naked 2 Eyeshadow Palette: 12x Eyeshadow, 1x Doubled Ended Shadow/Blending Brush","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","87.95","https://www.cosmeticsnow.com.au/iteminfo/Urban-Decay-Naked-2-Eyeshadow-Palette:-12x-Eyeshadow-1x-Doubled-Ended-Shadow/Blending-Brush"
"169868","Tweezerman","Petite Tweeze Set: Slant Tweezer + Point Tweezer - 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","32.95","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Petite-Tweeze-Set:-Slant-Tweezer-+-Point-Tweezer-With-Pink-Case-2pcs"
"168989","Tweezerman","Petite Tweeze Set: Slant Tweezer + Point Tweezer - 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","32.95","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Petite-Tweeze-Set:-Slant-Tweezer-+-Point-Tweezer-With-Lavendar-Leather-Case-2pcs"
"297947","L'Oreal","Infaillible Total Cover Concealer Palette 10g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","10.39","https://www.cosmeticsnow.com.au/iteminfo/L'Oreal-Infaillible-Total-Cover-Concealer-Palette-10g"
"280534","Dejavu","Fiberwig Ultra Long Mascara And Tiny Sniper Mascara Set - Pure Black 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","26.95","https://www.cosmeticsnow.com.au/iteminfo/Dejavu-Fiberwig-Ultra-Long-Mascara-And-Tiny-Sniper-Mascara-Set-Pure-Black-2pcs"
"174019","Bobbi Brown","Rose Shimmer Brick Set: Rose Shimmer Brick Compact + Mini Face Blender Brush 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","56.95","https://www.cosmeticsnow.com.au/iteminfo/Bobbi-Brown-Rose-Shimmer-Brick-Set:-Rose-Shimmer-Brick-Compact-+-Mini-Face-Blender-Brush-Limited-Edition-2pcs"
"244539","Tweezerman","Combo Clipper Set 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","13.71","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Combo-Clipper-Set-2pcs"
"129158","Cameleon","MakeUp Kit G0139 - 2","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","12.27","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-G0139-18x-Eyeshadow-2x-Blusher-2x-Pressed-Powder-4x-Lipgloss-2"
"169218","Tweezerman","Petite Tweeze Set: Slant Tweezer + Point Tweezer - 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","32.95","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Petite-Tweeze-Set:-Slant-Tweezer-+-Point-Tweezer-With-Black-Leather-Case-2pcs"
"241338","Billion Dollar Brows","Take Back Your Brows Kit: 1x Brow Buddy, 1x Universal Brow Pencil, 1x Tweezers, 1x Scissors 4pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","62.95","https://www.cosmeticsnow.com.au/iteminfo/Billion-Dollar-Brows-Take-Back-Your-Brows-Kit:-1x-Brow-Buddy-1x-Universal-Brow-Pencil-1x-Tweezers-1x-Scissors-4pcs"
"281869","BYS","Eyeshadow Palette - Smokey 12g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","13.71","https://www.cosmeticsnow.com.au/iteminfo/BYS-Eyeshadow-Palette-12x-Eyeshadow-2x-Applicator-Smokey-12g"
"138645","Arezia","MakeUp Kit MK 0276 57.9g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","15.16","https://www.cosmeticsnow.com.au/iteminfo/Arezia-MakeUp-Kit-MK-0276-22x-Eyeshadow-2x-Blusher-1x-Compact-Powder-6x-Lipgloss.....-57.9g"
"281936","Urban Decay","Naked Smoky Eyeshadow Palette (12x Eyeshadow, 1x Doubled Ended Smoky Smudger/Tapered Crease Brush)","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","87.95","https://www.cosmeticsnow.com.au/iteminfo/Urban-Decay-Naked-Smoky-Eyeshadow-Palette-12x-Eyeshadow-1x-Doubled-Ended-Smoky-Smudger/Tapered-Crease-Brush"
"163925","Tweezerman","Children's Care Kit: Baby Nail Clipper+ Baby Nail File+ Nail Brush+ Baby Nail Scissors 4pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","37.95","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Children's-Care-Kit:-Baby-Nail-Clipper+-Baby-Nail-File+-Nail-Brush+-Baby-Nail-Scissors-4pcs"
"278902","Urban Decay","Naked Basics Eyeshadow Palette: 6x Eyeshadow 6x1.3g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","46.95","https://www.cosmeticsnow.com.au/iteminfo/Urban-Decay-Naked-Basics-Eyeshadow-Palette:-6x-Eyeshadow-Crave-Faint-Foxy-Naked2-Venus-Walk-of-Shame-6x1.3g"
"274109","Cameleon","Laptop Style MakeUp Kit 8075 (35x EyeShadow, 4x Blusher, 2x Powder Cake, 6x Lipgloss)","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","15.16","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-Laptop-Style-MakeUp-Kit-8075-35x-EyeShadow-4x-Blusher-2x-Powder-Cake-6x-Lipgloss"
"240741","Tweezerman","Professional Nail Clipper Set","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","18.77","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Professional-Nail-Clipper-Set"
"129156","Arezia","MakeUp Kit AZ 01205 (36 Colours of Eyeshadow, 4x Blush, 3x Brow Powder, 2x Powder)","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","62.95","https://www.cosmeticsnow.com.au/iteminfo/Arezia-MakeUp-Kit-AZ-01205-36-Colours-of-Eyeshadow-4x-Blush-3x-Brow-Powder-2x-Powder"
"139815","Tweezerman","Mini Brow Rescue Kit: Slant Tweezer + Browmousse + Brow Brush + Eyenhance Brow Highlighter + Case 4pcs+1case","Make Up & Cosmetics >> Makeup Sets >> Travel Sets","30.95","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Mini-Brow-Rescue-Kit:-Slant-Tweezer-+-Browmousse-+-Brow-Brush-+-Eyenhance-Brow-Highlighter-+-Case-4pcs+1case"
"254141","Laura Mercier","Nude Smoky Eye Palette Collection 10pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","85.95","https://www.cosmeticsnow.com.au/iteminfo/Laura-Mercier-Nude-Smoky-Eye-Palette-Collection-1xMascara-1xLip-Glace-1xCake-Eye-Liner-4xEye-Colour-3xBrush-10pcs"
"244900","Cameleon","MakeUp Kit G1672 - 1","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","13.71","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-G1672-24xE/shdw-1xE/Pencil-4xL/Gloss-4xBlush-2xPressed-Pwd..-1"
"272787","physicians Formula","Physicians Formula Makeup Set 8661: 1x Shimmer Strips Eye Enhancing Shadow, 1x Powder Palette, 1x Applicator 3pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","11.55","https://www.cosmeticsnow.com.au/iteminfo/Physicians-Formula-Makeup-Set-8661:-1x-Shimmer-Strips-Eye-Enhancing-Shadow-1x-Powder-Palette-1x-Applicator-3pcs"
"129157","Cameleon","MakeUp Kit G0139 - 1","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","12.27","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-G0139-18x-Eyeshadow-2x-Blusher-2x-Pressed-Powder-4x-Lipgloss-1"
"219932","Tweezerman","Professional Petite Tweeze Set: Slant Tweezer + Point Tweezer - 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","32.95","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Professional-Petite-Tweeze-Set:-Slant-Tweezer-+-Point-Tweezer-With-Lavendar-Leather-Case-2pcs"
"282177","Billion Dollar Brows","60 Seconds To Beautiful Brows Kit - Taupe 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","24.95","https://www.cosmeticsnow.com.au/iteminfo/Billion-Dollar-Brows-60-Seconds-To-Beautiful-Brows-Kit-1x-Brow-Powder-1x-Dual-Ended-Brow-Brush-Taupe-2pcs"
"149288","Arezia","Make Up Kit AZ 2190 - #02 36.8g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","12.99","https://www.cosmeticsnow.com.au/iteminfo/Arezia-Make-Up-Kit-AZ-2190-16x-Eyeshadow-2x-Blusher-2x-Compact-Powder-4x-Lipgloss-3x-Applicator-no02-36.8g"
"285584","Too Faced","Love Palette 14.2g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","46.95","https://www.cosmeticsnow.com.au/iteminfo/Too-Faced-Love-Palette-15x-Eye-Shadows-1x-Eyeliner-14.2g"
"294848","Cameleon","MakeUp Kit Deluxe G2363 (66x Eyeshadow, 5x Blusher, 2x Pressed Powder, 4x Lipgloss, 3x Applicator)","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","20.21","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-Deluxe-G2363-66x-Eyeshadow-5x-Blusher-2x-Pressed-Powder-4x-Lipgloss-3x-Applicator"
"246590","Jane Iredale","Starter Kit (6 Pieces): 1xPrimer & Brighter, 1xLoose Mineral Powder, 1xMineral Foundation, ... - # Medium 6pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","78.95","https://www.cosmeticsnow.com.au/iteminfo/Jane-Iredale-Starter-Kit-6-Pieces:-1xPrimer-and-Brighter-1xLoose-Mineral-Powder-1xMineral-Foundation-...-no-Medium-6pcs"
"232899","NARS","Andy Warhol Collection Debbie Harry Eye And Cheek Palette 6pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","38.95","https://www.cosmeticsnow.com.au/iteminfo/NARS-Andy-Warhol-Collection-Debbie-Harry-Eye-And-Cheek-Palette-4x-Eyeshadows-2x-Blushes-6pcs"
"246145","Jane Iredale","Snappy Brush Wand 3pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","41.95","https://www.cosmeticsnow.com.au/iteminfo/Jane-Iredale-Snappy-Brush-Wand-Crease-Brush+Smudge-Brush+Eyeliner-Brush-3pcs"
"270844","Cameleon","MakeUp Kit G2210A (24x Eyeshadow, 2x Compact Powder, 3x Blusher, 4x Lipgloss)","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","12.27","https://www.cosmeticsnow.com.au/iteminfo/Cameleon-MakeUp-Kit-G2210A-24x-Eyeshadow-2x-Compact-Powder-3x-Blusher-4x-Lipgloss"
"311596","Urban Decay","Backtalk Eye & Face Palette : 8x Eyeshadow, 4x Blush/Highlighter","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","83.95","https://www.cosmeticsnow.com.au/iteminfo/Urban-Decay-Backtalk-Eye-and-Face-Palette-:-8x-Eyeshadow-4x-Blush/Highlighter"
"280915","NARS","NARSissist Cheek Studio Palette 29.5g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","80.95","https://www.cosmeticsnow.com.au/iteminfo/NARSissist-Cheek-Studio-Palette-4x-Blush-1x-Bronzing-Powder-2x-Contour-Blush-29.5g"
"251119","Tweezerman","Petite Tweeze Set: Slant Tweezer + Point Tweezer - With Pink Leather Case 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","37.95","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Petite-Tweeze-Set:-Slant-Tweezer-+-Point-Tweezer-With-Pink-Leather-Case-Studio-Collection-2pcs"
"281870","BYS","Contour Palette 20g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","13.71","https://www.cosmeticsnow.com.au/iteminfo/BYS-Contour-Palette-3x-Contouring-Powder-3x-Highlighting-Powder-20g"
"246588","Jane Iredale","Starter Kit (6 Pieces): 1xPrimer & Brighter, 1xLoose Mineral Powder, 1xMineral Foundation, ... - # Light 6pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","78.95","https://www.cosmeticsnow.com.au/iteminfo/Jane-Iredale-Starter-Kit-6-Pieces:-1xPrimer-and-Brighter-1xLoose-Mineral-Powder-1xMineral-Foundation-...-no-Light-6pcs"
"246589","Jane Iredale","Starter Kit (6 Pieces): 1xPrimer & Brighter, 1xLoose Mineral Powder, 1xMineral Foundation, ... - # Medium Light 6pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","78.95","https://www.cosmeticsnow.com.au/iteminfo/Jane-Iredale-Starter-Kit-6-Pieces:-1xPrimer-and-Brighter-1xLoose-Mineral-Powder-1xMineral-Foundation-...-no-Medium-Light-6pcs"
"294720","BYS","Contour, Brow & Eyeshadow Palette - Essentials 15g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","13.71","https://www.cosmeticsnow.com.au/iteminfo/BYS-Contour-Brow-and-Eyeshadow-Palette-Essentials-15g"
"297309","BareMinerals","Plushest Touch 5 Piece Brush Collection","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","56.95","https://www.cosmeticsnow.com.au/iteminfo/BareMinerals-Plushest-Touch-5-Piece-Brush-Collection"
"312339","Too Faced","Pretty Little Planner Best Year Ever 2018 : (15x Eyeshadow, 1x Mascara)","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","46.95","https://www.cosmeticsnow.com.au/iteminfo/Too-Faced-Pretty-Little-Planner-Best-Year-Ever-2018-:-15x-Eyeshadow-1x-Mascara"
"246591","Jane Iredale","Starter Kit (6 Pieces): 1xPrimer & Brighter, 1xLoose Mineral Powder, 1xMineral Foundation, ... - # Medium Dark 6pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","78.95","https://www.cosmeticsnow.com.au/iteminfo/Jane-Iredale-Starter-Kit-6-Pieces:-1xPrimer-and-Brighter-1xLoose-Mineral-Powder-1xMineral-Foundation-...-no-Medium-Dark-6pcs"
"251118","Tweezerman","Petite Tweeze Set: Slant Tweezer + Point Tweezer - With Lavendar Leather Case 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","37.95","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Petite-Tweeze-Set:-Slant-Tweezer-+-Point-Tweezer-With-Lavendar-Leather-Case-Studio-Collection-2pcs"
"258607","Tweezerman","Professional Petite Tweeze Set: Slant Tweezer + Point Tweezer - 2pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","49.95","https://www.cosmeticsnow.com.au/iteminfo/Tweezerman-Professional-Petite-Tweeze-Set:-Slant-Tweezer-+-Point-Tweezer-Regency-Finish-w/-Silver-Leather-Case-2pcs"
"272785","physicians Formula","Physicians Formula Makeup Set 8658: 1x Shimmer Strips Eye Enhancing Shadow, 1x CoverToxTen50 Face Powder, 1x Applicator 3pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","11.55","https://www.cosmeticsnow.com.au/iteminfo/Physicians-Formula-Makeup-Set-8658:-1x-Shimmer-Strips-Eye-Enhancing-Shadow-1x-CoverToxTen50-Face-Powder-1x-Applicator-3pcs"
"295003","Clinique","Chubby Lash Fattening Mascara Set 3pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","31.95","https://www.cosmeticsnow.com.au/iteminfo/Clinique-Chubby-Lash-Fattening-Mascara-Set-1x-Mascara-1x-Eye-Cream-1x-Makeup-Remover-3pcs"
"280896","Bobbi Brown","Instant Pretty Eye & Cheek Palette (3x Eye Shadow, 1x Metallic Eye Shadow, 1x Blush, 1x Mini Eye Shadow Brush)","Make Up & Cosmetics >> Makeup Sets >> Travel Sets","66.95","https://www.cosmeticsnow.com.au/iteminfo/Bobbi-Brown-Instant-Pretty-Eye-and-Cheek-Palette-3x-Eye-Shadow-1x-Metallic-Eye-Shadow-1x-Blush-1x-Mini-Eye-Shadow-Brush"
"148073","BareMinerals","Face Fashion Collection - The Look Of Now Pretty Wild 5pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","55.95","https://www.cosmeticsnow.com.au/iteminfo/BareMinerals-Face-Fashion-Collection-Blush-+-2x-Eye-Color-+-Mascara-+-Lipcolor-The-Look-Of-Now-Pretty-Wild-5pcs"
"216177","Smashbox","Step By Step Contour Kit 11.47g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","50.95","https://www.cosmeticsnow.com.au/iteminfo/Smashbox-Step-By-Step-Contour-Kit-1-x-Contour-Palette-+-1-x-Contour-Brush-Light/Medium-11.47g"
"281856","Cargo","Around the World Eye Shadow Palette 12x0.8g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","24.95","https://www.cosmeticsnow.com.au/iteminfo/Cargo-Around-the-World-Eye-Shadow-Palette-12x-Eye-Shadow-1x-Shadow-Brush-12x0.8g"
"274170","TheBalm","Autobalm Face Palette - #Hawaii","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","20.21","https://www.cosmeticsnow.com.au/iteminfo/TheBalm-Autobalm-Face-Palette-noHawaii"
"270166","Laura Mercier","Travel Brush Kit: 1x Cheek Colour Brush, 1x Smudge Brush, 1x Eye Crease Brush, 1x Case 3pcs+1case","Make Up & Cosmetics >> Makeup Sets >> Travel Sets","55.95","https://www.cosmeticsnow.com.au/iteminfo/Laura-Mercier-Travel-Brush-Kit:-1x-Cheek-Colour-Brush-1x-Smudge-Brush-1x-Eye-Crease-Brush-1x-Case-Unboxed-3pcs+1case"
"297316","BareMinerals","Get Started Mineral Foundation Kit - # 08 Light 4pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","46.95","https://www.cosmeticsnow.com.au/iteminfo/BareMinerals-Get-Started-Mineral-Foundation-Kit-no-08-Light-4pcs"
"297949","L'Oreal","Color Riche Lip Palette 6g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","21.95","https://www.cosmeticsnow.com.au/iteminfo/L'Oreal-Color-Riche-Lip-Palette-6g"
"302623","Elizabeth Arden","Bronze In The City Color Collection 4pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","31.95","https://www.cosmeticsnow.com.au/iteminfo/Elizabeth-Arden-Bronze-In-The-City-Color-Collection-4pcs"
"171104","Kevyn Aucoin","The Essential Eye Shadow Set - Palette #2 5x1g","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","80.95","https://www.cosmeticsnow.com.au/iteminfo/Kevyn-Aucoin-The-Essential-Eye-Shadow-Set-Palette-no2-5x1g"
"254627","Laura Mercier","Classic Smoky Eye Palette Collection 10pcs","Make Up & Cosmetics >> Makeup Sets >> Sets & Coffrets","82.95","https://www.cosmeticsnow.com.au/iteminfo/Laura-Mercier-Classic-Smoky-Eye-Palette-Collection-1xMascara-1xLip-Glace-1xCake-Eye-Liner-4xEye-Colour-3xBrush-10pcs"
